"Name of Village","Property Type","Price Low Season","Sale Price","Description","Listing Status"
"Lake ville kokaew","house","55K","ว่างปลายปี","🏡 Supalai Lake Ville – Twin House for Rent
✨ Beautiful Move-in Ready Home
📍 Property Details:

• 2-storey twin house, 39.40 sq.wah

• 3 bedrooms (2 bedrooms + 1 office convertible to bedroom)

• 2 bathrooms

• Bright family living & dining area with natural light

• Fully equipped kitchen

• High-speed internet ready

• 2 covered parking spaces

• Pet-friendly 🐕🐱
🏊‍♀️ Project Facilities:

• Community gym

• Swimming pool

• Garden & park area

• 24-hour security system
💰 Rental Price: 55,000 THB/month

💳 Deposit: 2 months (annual lease)
📩 Contact K.Thanya for private viewing

📱 Whatsapp: https://wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX
#PhuketHouseForRent #SupalaiLakeVille #PetFriendlyPhuket #PhuketLiving #ThanyaProperty",""
"Supalai Lake Ville","house","80K","","",""
"Lagoon","house","70K","","✅ Available for RENT & SALE – Supalai Lagoon, Koh Kaew
🏡 4 Bedrooms | 3 Bathrooms

📐 Land size: 488 sqm with a spacious garden

✨ Fully furnished & ready to move in

🔒 24-hour security for peace of mind
💰 For Rent: 70,000 THB/month (reduced from 75,000 THB)

📌 Terms: 2-month deposit + 1-month advance
💰 For Sale: 11.9 MB (Transfer fee 50:50)
📍 Prime Location:
• Finnway International School – 10 mins
• British International School Phuket (BISP) – 10 mins
• Royal Phuket Marina – 10 mins
• Lotus’s Grocery – 10 mins
• Bangkok Hospital – 10 mins
• Central Phuket Festival – 15 mins
This home is perfect for families looking for space, comfort, and convenience in a secure community.
📩 For private viewing, please contact:

📱 WhatsApp: https://wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX
🏷️ #PhuketHouseForRent #PhuketHouseForSale #KohKaewPhuket #SupalaiLagoon #PhuketProperty #PhuketRealEstate #FamilyHomePhuket #PhuketLiving #HouseForSalePhuket #PhuketRental #VillaInPhuket",""
"boat avenue","Pool Villa","220K","","✨ Brand New Luxury Pool Villa with Garden – For Rent & Resale 🌴

Move-in ready | Premium finishes | Bali-inspired design
📍 Location
• 10 mins to Bang Tao Beach
• 7 mins to Boat Avenue & Porto de Phuket
🏡 Villa Features
• 3 Bedrooms | 3 Bathrooms
• Solid wood custom furniture from Bali
• Spacious living room with high ceilings
• Fully equipped kitchen with island & oven
• Dining table for 8
• Large private pool
• Outdoor sofa with mountain view
• Private fenced area with 24/7 security
• Premium mattresses & bedding
💰 Rental Price
• 220,000 THB/month (annual contract)

✅ Includes weekly cleaning, garden care & pool service
💰 Resale Price
• 29,000,000 THB
📩 Contact K. Thanya for viewing

📱 WhatsApp: https://wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX
🔑 #PhuketVilla #LuxuryVillaPhuket #BangTaoVilla #PhuketProperty #VillaForRentPhuket #VillaForSalePhuket",""
"lake ville kokaew","house","70K",""," ✨ Brand-New Modern Home for Rent – Supalai Lake View, Koh Kaew ✨
🌿 Bright, safe, and family-friendly community with pool, gym, green park, and a peaceful lake view.
🏡 Community Facilities:

• Swimming pool & fitness center

• Large green park & lakeside walk

• 24-hour security
📍 Location Highlights:

• Food delivery service available 🚚

• 1.5 km – Finway International School

• 3.5 km – Robinson Lifestyle Thalang

• 9 km – Bangkok Hospital Phuket

• 10 km – Central Festival Phuket
💵 Rent: 70,000 THB / month

✅ Includes:

• Common area fee

• Cleaning service twice/month

• Gardening service twice/month
❌ Excludes:

• Water, electricity & internet (paid to providers directly)
📩 For private viewing, please contact K.Thanya

📱 WhatsApp: https://wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX
#PhuketRental #KohKaewPhuket #SupalaiLakeView #PhuketProperty #PhuketHouseForRent #PhuketLiving #PhuketVilla #FamilyHomePhuket #PhuketLuxuryRent #ModernHomePhuket",""
"Habitia","house","40K","","🏡 Corner House for Rent – HABITIA Koh Kaew, Phuket
💰 Price: 40,000 THB/month (minimum 6-month contract)

🐶 Small pets friendly

💵 Deposit: 2 months + 1 month advance payment
📏 Land Area: 40 sq.wah

🏠 Living Area: 160 sq.m

🛏️ 3 Bedrooms | 🛁 2 Bathrooms
Property Features:
• Fully furnished and ready to move in
• Built-in kitchen
• Washing machine
• Living room with TV
• Internet WiFi (550 THB/month)
• 4 air conditioners
• Spacious outdoor area
• Parking space for 2 cars
Village Facilities:

✅ 24-hour security gate

✅ Fitness, swimming pool & playground
Nearby Locations:

🚗 4 mins to British International School (1.6 km)

🚗 9 mins to Finnway International School

🚗 10 mins to Boat Lagoon

🚗 10 mins to Robinson Lifestyle Thalang
📩 For more information or to arrange a private viewing, please contact K.Thanya

📱 Whatsapp: https://wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX
#PhuketProperty #KohKaewHouseForRent #HabitiaPhuket #PetFriendlyHome #PhuketRealEstate #ThanyaProperty",""
"sansiri kokaew","house","100K","","🏡 Brand New House for Rent – Saransiri Koh Kaew Retreat

💥 Available Now

📍 Prime Location:
Near British International School (BISP), Finnway, Boat Lagoon & Royal Phuket Marina

💰 Rental Price: 100,000 THB/month
📅 1-year contract | 2 months deposit + 1 month advance

✨ Property Details:

Land area: 55 sq.w.

Living area: 165 sq.m.

🛏️ 3 Bedrooms

🛁 3 Bathrooms

💻 1 Working Room

🍽️ 1 Kitchen

📺 1 Living Room

🚗 Parking

❄️ Air conditioning in all rooms

🛋️ Fully furnished with electrical appliances

🌳 Quiet & secure neighborhood

🏡 Facilities:
✅ 24-hour security & CCTV
✅ Fitness center
✅ Swimming pool & Gym
✅ Kids’ playroom

🐶🐱 Pets allowed case by case

📩 For more information or private viewing, contact:
K. Thanya
📱 Whatsapp: http://wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX

#KohKaewPhuket #PhuketHouseForRent #LuxuryHomePhuket #PetFriendlyPhuket #ThanyaProperty ",""
"Habitia","house","45K","","🏡 House for Rent – Habitia Koh Kaew, Phuket
✨ 3 Bedrooms | 2 Bathrooms
💰 45,000 THB/month (Yearly contract)
🛋️ Fully furnished and ready to move in

📍 Key Distances
2 min walk → British International School Phuket
7 km → Thao Thep Monument
7.5 km → Robinson
7.9 km → Premium Outlet
12 km → Patong Beach
13 km → Tesco Lotus / Bangkok Hospital Siriroj

📩 For private viewing, please contact K.Thanya
📱 Whatsapp: http://wa.me/66659594299
📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX

#PhuketHouseForRent #KohKaew #PhuketLiving #PhuketProperty #ThanyaProperty",""
"Crown Estate, Dulwich Road","house","99-130K","","🏡 Brand New Tropical Villa for Rent 🌴✨

📍 Crown Estate, Dulwich Road – Koh Kaew

(Next to British International School Phuket)
💫 Property Details:

🛏️ 4 Bedrooms

🛁 3 Bathrooms

🌿 Beautiful Tropical Garden with Fully Automatic System

🛋️ Fully Furnished & Move-in Ready

🏘️ 24-hour Security in a Gated Community

🏊‍♀️ Clubhouse with Swimming Pool, Gym, Playground & Recreation Area
💡 Included Services:

👩‍🍳 Housekeeper

🌱 Gardener

🌐 High-speed Internet
💰 Rental Rates:

📆 3 Months – 130,000 THB/month

📆 6 Months – 120,000 THB/month

📆 1 Year – 99,000 THB/month
🔑 Terms:

1 Month Advance Rent + 2 Months Security Deposit
✨ Perfect for families seeking comfort, privacy & resort-style living in Phuket!
📩 For further enquiry, please contact K.Thanya

📱 Whatsapp: https://wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX
#KohKaewVilla #PhuketLuxuryRental #BISPhuket #PhuketProperty #TropicalVillaPhuket #PhuketLiving #PhuketRealEstate",""
"Habitia","house","40","","🏡 House for Rent – Habitia Koh Kaew, Phuket

📍 Excellent location near IKEA & British International School
💸 Rental Price: 40,000 THB/month (1-year contract)
🛏 Property Details:

• 3 Bedrooms

• 2 Bathrooms

• Fully furnished and ready to move in

• Modern design with bright living area

• Private garden and covered parking
🏘️ Facilities:

• Swimming pool

• Fitness center

• 24-hour security

• Peaceful and family-friendly neighborhood
📍 Nearby Places:

• 2 mins – IKEA & Bypass Road

• 5 mins – British International School

• 10 mins – Central Festival & Central Floresta

• 15 mins – Phuket Town

• 25 mins – Patong Beach
📩 สนใจเข้าชมบ้านส่วนตัว กรุณาติดต่อ K.Thanya

📱 Whatsapp: https://wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX
🏷️ #HabitiaKohKaew #PhuketHouseForRent #PhuketRealEstate #PhuketProperty #KohKaewPhuket #PhuketHome #ThanyaRealEstate #PhuketLiving #PhuketLifestyle #BISPhuket #PhuketRental",""
"Burasiri","house","51500","","🏡 For Rent: Burasiri Koh Kaew – THB 51,500/month
(2+1 months deposit | Available now)
✨ Fully Furnished
• 65"" Smart TV (new)
• Double-door refrigerator (new)
• Washing machine
• Stove & hood (new)
📍 Great Location
• Near British International School Phuket (BISP)
• Close to IKEA and Central Festival Phuket
• Only 20–30 mins to the Airport
📩 For private viewing, please contact K.Thanya

📱 Whatsapp: wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX
#PhuketProperty #PhuketHouseForRent #BurasiriKohKaew #PhuketLiving #PhuketRealEstate #HouseForRentPhuket #LuxuryHomePhuket #PropertyInPhuket #RealEstatePhuket #KohKaew",""
"saransiri","house","65","","🏡 House for Rent in Saransiri Village, Koh Kaew
📍 Opposite British International School (BIS), Phuket

✨ Key Features:
• Monthly Rent: 65,000 THB
• Bedrooms: 4
• Bathrooms: 3
• Living Room: Spacious and cozy with comfortable movie-watching chairs
• Parking: Space for 2 cars
• Security: Private and quiet zone with 24-hour security and CCTV
• Outdoor Space: Large garden and spacious outdoor area — perfect for families or relaxation

📩 สนใจเข้าชมบ้านส่วนตัว กรุณาติดต่อ K.Thanya
📱 Whatsapp: http://wa.me/66659594299%EF%BF%BC
📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX%EF%BF%BC

#PhuketProperty #PhuketHouseForRent #KohKaew #SaransiriVillage #PhuketLiving #PhuketHome #LuxuryRentalPhuket #HouseForRentPhuket #BISPhuket #PhuketRealEstate #KohKaewLiving #PhuketLifestyle #PhuketAgent ",""
"Lock palm","Pool Villa","80K","","Lock Palm house for rent – Price Reduced!
🏡 Available Now
✨ 80,000 THB / Month reduce from 100,000  THB / Month

🌴 3 Bedrooms | 3 Bathrooms | Private Pool
🛋 Fully Furnished
🏠 Sala
🚗 2 Covered Parking Spaces
🌳 Garden & Pool Maintenance Included
🔒 24-Hour Security in a Gated Community

📍 Peaceful location near:
• Loch Palm Golf Course
• British International School (BIS)
• Central Phuket

📩 Contact:
Please contact K. Thanya for a private viewing.
📱 Whatsapp: http://wa.me/66659594299
📲 LINE: https://line.me/ti/p/7Cr_f-bvBX

#PhuketHouseForRent #LuxuryVillaPhuket #LochPalm #PhuketLiving #PhuketProperty #PrivatePoolVilla #PhuketHomes #MoveToPhuket",""
"bella kokaew","house","42","","🏡 Supalai Bella Koh Kaew — House for Rent
✨ Rent: 42,000 THB / month (1-year lease)

🛏 3 Bedrooms

🛁 2 Bathrooms
📍 Location: Supalai Bella, Koh Kaew — a quiet, family-friendly community with 24/7 security, easy access to BIS, Boat Lagoon, cafés, and shops.
✨ Highlights:

– Spacious 2-storey home

– Fully furnished (optional)

– Bright and airy living room

– Modern kitchen

– Parking for 2 cars

– Safe gated community

– Convenient location near schools and supermarkets
📩 สนใจเข้าชมบ้านส่วนตัว กรุณาติดต่อ K.Thanya

📱 Whatsapp: wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX
#PhuketHomeForRent #KohKaew #SupalaiBella #PhuketHouse #PhuketRental #HouseForRentPhuket #PhuketLiving #PropertyPhuket #ThailandRealEstate #RealEstatePhuket #PhuketHomes #PhuketLifestyle",""
"lake view kokaew","house","75 K","","",""
"Boat lagoon","house","65","","Available from 20 January 2026!

🌴 House for Rent – 2 Bedrooms | 3 Bathrooms | Lagoon View

🛋 Fully Furnished | 🚗 Covered Parking

🔒 24-Hour Security in a Gated Community

💰 65,000 THB / Month
📍 Located in the peaceful Boat Lagoon area — just minutes from British International School and Central Phuket. Perfect for families or anyone seeking comfort, privacy, and convenience.
📩 For private viewing, please contact K.Thanya

📱 Whatsapp: wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX
#PhuketProperty #PhuketHomeForRent #BoatLagoonPhuket #LagoonViewHouse #PhuketRealEstate #HouseForRentPhuket #PhuketLiving #LuxuryHomePhuket #PhuketRental #BISPPhuket",""
"supalai lagoon","house","","7.59","บ้านเดี่ยวสวย ทำเลดี – พื้นที่กว้าง 256 ตร.ม. ใกล้ BISP / รพ.กรุงเทพ / เซ็นทรัล
📌 ราคาขาย 7,590,000 บาท
~ ขนาดที่ดิน 64 ตารางวา

~ พื้นที่ใช้สอย 256 ตารางเมตร

~ 4 ห้องนอน + ห้องเอนกประสงค์ 1, 3 ห้องน้ำ

~ จอดรถได้ 2 คัน

~ เครื่องปรับอากาศ 6 เครื่อง

~ ห้องครัว 2 ห้อง (ครัวไทย + ครัวฝรั่ง)
👉 สิ่งอำนวยความสะดวกในโครงการ

• คลับเฮ้าส์

• สระว่ายน้ำ

• ฟิตเนส

• สนามสาธารณะริมทะเล

• เลนปั่นจักรยาน
📍 สถานที่ใกล้เคียง

• Central / Lotus / Big C / Index – 15 นาที

• โรงพยาบาลกรุงเทพ – 15 นาที

• British International School Phuket (BISP) – 5 นาที

• ม. สงขลานครินทร์ – 20 นาที

• หาดป่าตอง – 25 นาที

• หาดสุรินทร์ – 25 นาที

• หาดบางเทา – 30 นาที

• Royal Phuket Marina

• Boat Lagoon

• Outlet Bypass
📩 สนใจนัดชม กรุณาติดต่อ K. Thanya

📱 Whatsapp: wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX

🔗 Facebook: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#PhuketProperty #บ้านภูเก็ต #ขายบ้านภูเก็ต #BISPPhuket #PoolVillaPhuket #PhuketRealEstate #บ้านใกล้BISP #ลงทุนภูเก็ต",""
"phuket villa","house","39K","5.7","",""
